gen_tokens,mode,step_idx,median_ms,p95_ms,std_ms
64,fp16_static_compiled_attn_only_deltanet,14,34.971717,39.0895,2.122292
64,fp16_static_compiled_attn_only_deltanet,15,34.201113,36.288269,1.242704
64,fp16_static_compiled_attn_only_deltanet,16,33.577113,35.255015,0.83852
64,fp16_static_compiled_attn_only_deltanet,17,34.487184,37.00973,1.343999
64,fp16_static_compiled_attn_only_deltanet,18,36.036041,40.219087,2.656475
64,fp16_static_compiled_attn_only_deltanet,19,34.0652,37.728377,1.723853
64,fp16_static_compiled_attn_only_deltanet,20,34.59344,35.214785,0.743793
64,fp16_static_compiled_attn_only_deltanet,21,34.522622,34.908636,0.665518
64,fp16_static_compiled_attn_only_deltanet,22,33.253728,34.140423,0.46588
64,fp16_static_compiled_attn_only_deltanet,23,34.100985,37.499729,1.89733
64,fp16_static_compiled_attn_only_deltanet,24,34.158093,34.511038,0.608898
64,fp16_static_compiled_attn_only_deltanet,25,34.658112,36.318852,1.245114
64,fp16_static_compiled_attn_only_deltanet,26,33.972473,40.703431,3.131498
64,fp16_static_compiled_attn_only_deltanet,27,34.78578,38.812128,2.018743
64,fp16_static_compiled_attn_only_deltanet,28,33.717221,44.989835,5.47049
64,fp16_static_compiled_attn_only_deltanet,29,34.444148,46.089563,5.475864
64,fp16_static_compiled_attn_only_deltanet,30,34.399947,41.990903,4.011694
64,fp16_static_compiled_attn_only_deltanet,31,33.239885,36.138994,1.402587
64,fp16_static_compiled_attn_only_deltanet,32,34.077926,35.913041,0.966454
64,fp16_static_compiled_attn_only_deltanet,33,34.56362,35.702789,0.875124
64,fp16_static_compiled_attn_only_deltanet,34,34.848447,35.631419,0.671875
64,fp16_static_compiled_attn_only_deltanet,35,35.08093,40.358244,2.984008
64,fp16_static_compiled_attn_only_deltanet,36,34.254071,34.298019,0.379286
64,fp16_static_compiled_attn_only_deltanet,37,33.945542,35.046635,0.809211
64,fp16_static_compiled_attn_only_deltanet,38,33.540161,35.214972,1.011181
64,fp16_static_compiled_attn_only_deltanet,39,33.56647,35.152063,1.013927
64,fp16_static_compiled_attn_only_deltanet,40,34.074635,34.829795,0.766087
64,fp16_static_compiled_attn_only_deltanet,41,33.866133,41.964277,3.922647
64,fp16_static_compiled_attn_only_deltanet,42,33.843042,34.295629,0.674644
64,fp16_static_compiled_attn_only_deltanet,43,33.654547,34.811599,0.703095
64,fp16_static_compiled_attn_only_deltanet,44,35.367864,36.357117,0.668985
64,fp16_static_compiled_attn_only_deltanet,45,33.927862,34.623453,0.595349
64,fp16_static_compiled_attn_only_deltanet,46,34.376202,36.619744,1.435342
64,fp16_static_compiled_attn_only_deltanet,47,34.202357,39.218682,2.626782
64,fp16_static_compiled_attn_only_deltanet,48,34.728035,36.16668,0.923751
64,fp16_static_compiled_attn_only_deltanet,49,34.180893,36.767119,1.455281
64,fp16_static_compiled_attn_only_deltanet,50,33.739927,37.148454,1.582504
64,fp16_static_compiled_attn_only_deltanet,51,33.827751,39.582311,3.064963
64,fp16_static_compiled_attn_only_deltanet,52,33.757031,35.612349,1.200525
64,fp16_static_compiled_attn_only_deltanet,53,34.777515,39.660126,2.635896
64,fp16_static_compiled_attn_only_deltanet,54,33.989771,34.971521,0.600819
64,fp16_static_compiled_attn_only_deltanet,55,33.318579,34.816623,0.754566
64,fp16_static_compiled_attn_only_deltanet,56,35.06983,36.501464,0.801593
64,fp16_static_compiled_attn_only_deltanet,57,34.149727,36.000631,1.101841
64,fp16_static_compiled_attn_only_deltanet,58,34.212034,35.389287,0.77094
64,fp16_static_compiled_attn_only_deltanet,59,34.709642,35.682151,0.608931
64,fp16_static_compiled_attn_only_deltanet,60,35.117501,36.225474,1.149186
64,fp16_static_compiled_attn_only_deltanet,61,33.468309,36.145908,1.324748
